OBJECTID,ZIP_CODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
55,00100,55,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
56,00116,56,3,0.026346273,0.386387825,0.397589773,0.011201948,0.390121808,0.005280649,1.170365423
57,00121,57,2,0.017564182,0.600054801,0.662649632,0.062594831,0.631352216,0.031297415,1.262704432
58,00125,58,76,0.66743892,0.337886333,1.341763258,1.003876925,0.786091357,0.262731609,59.74294311
59,00126,59,3,0.026346273,0.84341532,0.941802084,0.098386765,0.90744851,0.045318492,2.722345531
60,00127,60,15,0.131731366,0.265059859,0.592691839,0.32763198,0.40003855,0.089441765,6.000578254
61,00128,61,5,0.043910455,0.504658937,0.675772667,0.171113729,0.591113186,0.060210097,2.955565929
62,00130,62,18,0.158077639,0.093712814,0.337886333,0.244173519,0.180245614,0.067760302,3.24442105
63,00132,63,46,0.403976189,0.468564063,1.185383677,0.716819614,0.809328842,0.198355129,37.22912675
64,00133,64,13,0.114167184,0.504658937,0.84341532,0.338756382,0.651092488,0.098887621,8.464202344
65,00134,65,22,0.193206003,0.296345919,0.600054801,0.303708881,0.481650572,0.082011747,10.59631258
66,00135,66,97,0.851862833,0.132529929,1.128451705,0.995921776,0.665218733,0.239644461,64.52621712
67,00137,67,11,0.096603002,0.093712814,0.337886333,0.244173519,0.21064294,0.071614312,2.317072339
68,00138,68,6,0.052692546,0.265059859,0.504658937,0.239599079,0.381935259,0.088385808,2.291611552
69,00139,69,2,0.017564182,0.187425628,0.265059859,0.07763423,0.226242743,0.038817115,0.452485487
70,00141,70,2,0.017564182,0.20954822,0.296345919,0.086797699,0.25294707,0.04339885,0.505894139
71,00148,71,5,0.043910455,0.296345919,0.386387825,0.090041906,0.356371832,0.034894792,1.781859159
72,00151,72,4,0.035128364,0.187425628,0.296345919,0.108920291,0.225716997,0.041765812,0.902867988
73,00160,73,8,0.070256728,0.265059859,0.570032775,0.304972917,0.43589345,0.098941744,3.487147599
74,00161,74,13,0.114167184,0.265059859,0.600054801,0.334994942,0.466271057,0.116738369,6.061523736
75,00164,75,7,0.061474637,0.337886333,0.477843463,0.13995713,0.415955254,0.05121571,2.911686778
76,00165,76,15,0.131731366,0.265059859,0.468564063,0.203504205,0.360827816,0.057367855,5.412417233
77,00166,77,33,0.289809005,0.093712814,0.468564063,0.374851249,0.298350768,0.093028572,9.84557534
78,00168,78,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
79,00174,79,1,0.008782091,0.337886333,0.337886333,0,0.337886333,0,0.337886333
80,00176,80,1,0.008782091,0.265059859,0.265059859,0,0.265059859,0,0.265059859
81,00180,81,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
82,00185,82,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
83,00188,83,2,0.017564182,0.132529929,0.28113842,0.148608491,0.206834175,0.074304245,0.413668349
84,00197,84,55,0.483015008,0.132529929,0.662649632,0.530119702,0.413301817,0.135041012,22.73159991
85,00199,85,7,0.061474637,0.28113842,0.386387825,0.105249405,0.327294145,0.045026513,2.291059017
86,01001,86,1,0.008782091,0,0,0,0,0,0
87,01002,87,1,0.008782091,0,0,0,0,0,0
88,01005,88,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
89,01007,89,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
90,01008,90,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
91,01010,91,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
92,01011,92,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
93,01013,93,1,0.008782091,0,0,0,0,0,0
94,01026,94,2,0.017564182,0.20954822,0.20954822,0,0.20954822,0,0.41909644
95,01027,95,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
96,01028,96,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
97,01030,97,1,0.008782091,0,0,0,0,0,0
98,01033,98,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
99,01034,99,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
100,01035,100,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
101,01036,101,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
102,01037,102,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
103,01050,103,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
104,01053,104,1,0.008782091,0,0,0,0,0,0
105,01054,105,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
106,01057,106,1,0.008782091,0,0,0,0,0,0
107,01068,107,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
108,01069,108,1,0.008782091,0,0,0,0,0,0
109,01071,109,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
110,01072,110,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
111,01073,111,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
112,01075,112,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
113,01077,113,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
114,01081,114,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
115,01082,115,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
116,01084,116,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
117,01085,117,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
118,01095,118,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
119,01096,119,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
120,01098,120,1,0.008782091,0.265059859,0.265059859,0,0.265059859,0,0.265059859
121,01151,121,1,0.008782091,0,0,0,0,0,0
122,01201,122,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
123,01220,123,1,0.008782091,0,0,0,0,0,0
124,01223,124,2,0.017564182,0.132529929,0.265059859,0.132529929,0.198794894,0.066264965,0.397589788
125,01225,125,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
126,01230,126,5,0.043910455,0,0.093712814,0.093712814,0.056227688,0.045909715,0.281138442
127,01235,127,3,0.026346273,0.093712814,0.20954822,0.115835406,0.163562221,0.050209939,0.490686662
128,01237,128,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
129,01238,129,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
130,01240,130,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
131,01245,131,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
132,01247,132,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
133,01253,133,1,0.008782091,0.28113842,0.28113842,0,0.28113842,0,0.28113842
134,01255,134,2,0.017564182,0.20954822,0.296345919,0.086797699,0.25294707,0.04339885,0.505894139
135,01256,135,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
136,01257,136,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
137,01258,137,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
138,01259,138,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
139,01266,139,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
140,01267,140,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
141,01270,141,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
142,01301,142,1,0.008782091,0,0,0,0,0,0
143,01330,143,1,0.008782091,0.265059859,0.265059859,0,0.265059859,0,0.265059859
144,01331,144,3,0.026346273,0,0.132529929,0.132529929,0.075414248,0.055630769,0.226242743
145,01337,145,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
146,01339,146,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
147,01340,147,3,0.026346273,0.093712814,0.132529929,0.038817115,0.106651853,0.018298564,0.319955558
148,01341,148,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
149,01342,149,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
150,01344,150,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
151,01350,151,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
152,01351,152,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
153,01354,153,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
154,01355,154,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
155,01360,155,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
156,01364,156,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
157,01366,157,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
158,01367,158,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
159,01368,159,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
160,01370,160,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
161,01373,161,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
162,01378,162,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
163,01379,163,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
164,01420,164,1,0.008782091,0,0,0,0,0,0
165,01430,165,1,0.008782091,0,0,0,0,0,0
166,01450,166,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
167,01451,167,1,0.008782091,0,0,0,0,0,0
168,01452,168,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
169,01453,169,1,0.008782091,0,0,0,0,0,0
170,01460,170,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
171,01462,171,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
172,01464,172,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
173,01468,173,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
174,01473,174,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
175,01475,175,1,0.008782091,0,0,0,0,0,0
176,01501,176,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
177,01505,177,1,0.008782091,0,0,0,0,0,0
178,01507,178,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
179,01516,179,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
180,01518,180,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
181,01520,181,1,0.008782091,0,0,0,0,0,0
182,01523,182,1,0.008782091,0,0,0,0,0,0
183,01524,183,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
184,01531,184,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
185,01532,185,1,0.008782091,0,0,0,0,0,0
186,01534,186,1,0.008782091,0,0,0,0,0,0
187,01541,187,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
188,01543,188,1,0.008782091,0,0,0,0,0,0
189,01550,189,1,0.008782091,0,0,0,0,0,0
190,01562,190,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
191,01564,191,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
192,01566,192,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
193,01568,193,1,0.008782091,0,0,0,0,0,0
194,01569,194,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
195,01570,195,1,0.008782091,0,0,0,0,0,0
196,01571,196,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
197,01581,197,1,0.008782091,0,0,0,0,0,0
198,01585,198,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
199,01590,199,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
200,01602,200,1,0.008782091,0,0,0,0,0,0
201,01604,201,1,0.008782091,0,0,0,0,0,0
202,01701,202,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
203,01721,203,1,0.008782091,0,0,0,0,0,0
204,01740,204,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
205,01741,205,1,0.008782091,0,0,0,0,0,0
206,01742,206,1,0.008782091,0,0,0,0,0,0
207,01746,207,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
208,01748,208,1,0.008782091,0,0,0,0,0,0
209,01752,209,1,0.008782091,0,0,0,0,0,0
210,01754,210,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
211,01756,211,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
212,01770,212,1,0.008782091,0,0,0,0,0,0
213,01773,213,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
214,01778,214,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
215,01810,215,2,0.017564182,0,0,0,0,0,0
216,01821,216,1,0.008782091,0,0,0,0,0,0
217,01833,217,1,0.008782091,0,0,0,0,0,0
218,01844,218,1,0.008782091,0,0,0,0,0,0
219,01845,219,1,0.008782091,0,0,0,0,0,0
220,01852,220,1,0.008782091,0,0,0,0,0,0
221,01860,221,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
222,01863,222,1,0.008782091,0,0,0,0,0,0
223,01867,223,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
224,01879,224,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
225,01887,225,1,0.008782091,0,0,0,0,0,0
226,01906,226,1,0.008782091,0,0,0,0,0,0
227,01930,227,1,0.008782091,0,0,0,0,0,0
228,01949,228,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
229,01950,229,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
230,01960,230,1,0.008782091,0,0,0,0,0,0
231,01966,231,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
232,01969,232,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
233,01970,233,1,0.008782091,0,0,0,0,0,0
234,01982,234,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
235,02019,235,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
236,02021,236,1,0.008782091,0,0,0,0,0,0
237,02025,237,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
238,02026,238,1,0.008782091,0,0,0,0,0,0
239,02030,239,1,0.008782091,0,0,0,0,0,0
240,02035,240,1,0.008782091,0,0,0,0,0,0
241,02038,241,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
242,02043,242,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
243,02050,243,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
244,02052,244,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
245,02054,245,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
246,02061,246,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
247,02062,247,1,0.008782091,0,0,0,0,0,0
248,02067,248,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
249,02155,249,1,0.008782091,0,0,0,0,0,0
250,02169,250,1,0.008782091,0,0,0,0,0,0
251,02186,251,1,0.008782091,0,0,0,0,0,0
252,02215,252,1,0.008782091,0,0,0,0,0,0
253,02302,253,1,0.008782091,0,0,0,0,0,0
254,02324,254,1,0.008782091,0,0,0,0,0,0
255,02330,255,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
256,02332,256,1,0.008782091,0,0,0,0,0,0
257,02338,257,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
258,02341,258,1,0.008782091,0,0,0,0,0,0
259,02343,259,1,0.008782091,0,0,0,0,0,0
260,02346,260,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
261,02347,261,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
262,02356,262,1,0.008782091,0,0,0,0,0,0
263,02359,263,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
264,02360,264,3,0.026346273,0.093712814,0.132529929,0.038817115,0.106651853,0.018298564,0.319955558
265,02364,265,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
266,02367,266,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
267,02370,267,1,0.008782091,0,0,0,0,0,0
268,02420,268,1,0.008782091,0,0,0,0,0,0
269,02458,269,1,0.008782091,0,0,0,0,0,0
270,02493,270,1,0.008782091,0,0,0,0,0,0
271,02536,271,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
