XCoord,YCoord,JOIN_COUNT,ID,ZIP_1
-74.53000000,41.46000000,1,2015010015.000000,10963.000000
-89.79000000,43.59000000,1,2015010016.000000,53940.000000
-80.11000000,40.49000000,1,2015010018.000000,15108.000000
-83.65000000,32.77000000,1,2015010019.000000,31206.000000
-89.04000000,42.67000000,1,2015010020.000000,53545.000000
-81.91000000,26.68000000,1,2015010021.000000,33909.000000
-82.38000000,27.96000000,1,2015010022.000000,33619.000000
-104.51000000,40.47000000,1,2015010023.000000,80624.000000
-99.43000000,36.42000000,1,2015010024.000000,73801.000000
-81.46000000,28.55000000,1,2015010025.000000,32808.000000
-97.68000000,27.80000000,1,2015010026.000000,78380.000000
-80.20000000,25.93000000,1,2015010027.000000,33169.000000
-97.00000000,32.83000000,1,2015010028.000000,75062.000000
-94.91000000,29.24000000,1,2015010029.000000,77554.000000
-89.64000000,42.61000000,1,2015010030.000000,53566.000000
-92.96000000,32.55000000,1,2015010032.000000,71001.000000
-82.54000000,28.46000000,1,2015010033.000000,34608.000000
-79.41000000,41.23000000,1,2015010034.000000,16254.000000
-96.80000000,32.79000000,1,2015010035.000000,75201.000000
-93.40000000,29.78000000,1,2015010037.000000,70631.000000
-88.49000000,33.97000000,1,2015010038.000000,38821.000000
-74.18000000,40.89000000,1,2015010040.000000,7424.000000
-94.93000000,30.02000000,1,2015010041.000000,77535.000000
-81.58000000,41.55000000,1,2015010043.000000,44110.000000
-88.04000000,42.05000000,1,2015010044.000000,60173.000000
-82.49000000,27.96000000,1,2015010045.000000,33607.000000
-74.37000000,40.59000000,1,2015010046.000000,8820.000000
-96.11000000,41.20000000,1,2015010047.000000,68137.000000
-82.55000000,27.48000000,1,2015010048.000000,34208.000000
-71.86000000,42.93000000,1,2015010049.000000,3047.000000
-94.72000000,39.08000000,1,2015010050.000000,66111.000000
-90.40000000,32.72000000,1,2015010051.000000,39194.000000
-80.20000000,26.28000000,1,2015010052.000000,33073.000000
-89.67000000,44.96000000,1,2015010053.000000,54401.000000
-102.35000000,31.39000000,1,2015010054.000000,79731.000000
-71.14000000,41.94000000,1,2015010055.000000,2703.000000
-92.67000000,33.20000000,1,2015010056.000000,71730.000000
-81.66000000,41.46000000,1,2015010057.000000,44105.000000
-89.70000000,41.79000000,1,2015010059.000000,61081.000000
-83.06000000,42.32000000,0,2015010061.000000,48233.000000
-116.77000000,47.86000000,1,2015010062.000000,83801.000000
-84.43000000,33.63000000,1,2015010063.000000,30320.000000
-80.26000000,26.10000000,1,2015010064.000000,33324.000000
-94.07000000,38.74000000,1,2015010065.000000,64061.000000
-95.86000000,36.05000000,1,2015010067.000000,74133.000000
-95.71000000,29.06000000,1,2015010068.000000,77480.000000
-88.27000000,41.86000000,1,2015010069.000000,60510.000000
-73.86000000,41.10000000,1,2015010070.000000,10591.000000
-92.65000000,31.92000000,1,2015010071.000000,71483.000000
-73.08000000,40.78000000,1,2015010072.000000,11741.000000
-94.00000000,29.97000000,1,2015010073.000000,77627.000000
-101.17000000,31.12000000,1,2015010074.000000,76930.000000
-98.53000000,29.39000000,1,2015010075.000000,78225.000000
-77.68000000,43.18000000,1,2015010076.000000,14606.000000
-91.08000000,30.21000000,1,2015010077.000000,70721.000000
-89.08000000,42.28000000,1,2015010078.000000,61103.000000
-96.76000000,33.01000000,1,2015010079.000000,75075.000000
-81.14000000,41.76000000,1,2015010081.000000,44081.000000
-75.01000000,41.13000000,1,2015010082.000000,18324.000000
-71.85000000,42.56000000,1,2015010083.000000,1420.000000
-100.54000000,41.06000000,1,2015010084.000000,69151.000000
-96.59000000,33.64000000,1,2015010085.000000,75090.000000
-88.59000000,43.14000000,1,2015010087.000000,53036.000000
-74.77000000,41.70000000,1,2015010088.000000,12734.000000
-91.51000000,44.79000000,1,2015010089.000000,54701.000000
-80.18000000,26.53000000,1,2015010090.000000,33472.000000
-94.79000000,38.87000000,1,2015010091.000000,66062.000000
-114.35000000,43.68000000,1,2015010092.000000,83353.000000
-103.62000000,31.78000000,1,2015010093.000000,79754.000000
-97.55000000,30.33000000,1,2015010094.000000,78653.000000
-95.32000000,32.30000000,1,2015010095.000000,75701.000000
-105.65000000,39.45000000,1,2015010097.000000,80448.000000
-82.81000000,34.18000000,1,2015010098.000000,30635.000000
-68.53000000,45.62000000,1,2015010099.000000,4460.000000
-80.94000000,41.80000000,1,2015010100.000000,44041.000000
-71.08000000,41.84000000,1,2015010101.000000,2779.000000
-81.42000000,26.74000000,1,2015010102.000000,33935.000000
-80.46000000,27.31000000,1,2015010103.000000,34987.000000
-92.17000000,38.60000000,1,2015010104.000000,65101.000000
-92.07000000,30.55000000,1,2015010105.000000,70570.000000
-80.34000000,25.86000000,1,2015010106.000000,33178.000000
-95.35000000,29.76000000,1,2015010107.000000,77002.000000
-87.82000000,42.35000000,0,2015010108.000000,60085.000000
-104.69000000,40.41000000,1,2015010109.000000,80631.000000
-87.89000000,42.24000000,1,2015010110.000000,60045.000000
-82.96000000,40.81000000,1,2015010112.000000,44820.000000
-90.42000000,42.41000000,1,2015010114.000000,61036.000000
-105.22000000,39.75000000,1,2015010115.000000,80401.000000
-93.70000000,32.55000000,1,2015010116.000000,71111.000000
-88.10000000,41.93000000,1,2015010117.000000,60108.000000
-79.70000000,41.43000000,1,2015010118.000000,16301.000000
-74.40000000,40.46000000,1,2015010120.000000,8816.000000
-97.10000000,36.69000000,1,2015010121.000000,74601.000000
-73.34000000,41.21000000,1,2015010125.000000,6883.000000
-88.05000000,38.12000000,1,2015010127.000000,62821.000000
-85.03000000,31.18000000,1,2015010128.000000,39832.000000
-83.36000000,33.97000000,1,2015010129.000000,30601.000000
-81.83000000,38.41000000,1,2015010130.000000,25143.000000
-83.63000000,32.80000000,1,2015010132.000000,31206.000000
-76.27000000,40.48000000,1,2015010133.000000,19507.000000
-97.39000000,32.34000000,1,2015010134.000000,76033.000000
-90.10000000,32.46000000,1,2015010135.000000,39110.000000
-77.65000000,43.17000000,1,2015010136.000000,14606.000000
-92.27000000,39.00000000,1,2015010137.000000,65202.000000
-71.11000000,42.31000000,1,2015010138.000000,2130.000000
-102.49000000,47.99000000,1,2015010139.000000,58763.000000
-75.49000000,41.58000000,1,2015010140.000000,18407.000000
-72.31000000,40.94000000,1,2015010141.000000,11932.000000
-104.99000000,38.40000000,1,2015010145.000000,81240.000000
-96.60000000,40.98000000,1,2015010146.000000,68517.000000
-87.78000000,42.02000000,1,2015010147.000000,60053.000000
-95.39000000,29.67000000,1,2015010148.000000,77054.000000
-97.37000000,27.70000000,1,2015010149.000000,78411.000000
-99.82000000,28.50000000,1,2015010150.000000,78834.000000
-94.76000000,30.08000000,1,2015010151.000000,77575.000000
-82.17000000,38.82000000,1,2015010152.000000,45631.000000
-74.29000000,40.86000000,1,2015010153.000000,7006.000000
-90.38000000,36.18000000,1,2015010155.000000,72443.000000
-89.85000000,30.76000000,1,2015010156.000000,70427.000000
-76.38000000,40.05000000,1,2015010157.000000,17603.000000
-76.89000000,40.32000000,1,2015010158.000000,17110.000000
-98.51000000,34.60000000,1,2015010159.000000,73505.000000
-111.18000000,45.79000000,1,2015010161.000000,59714.000000
-80.65000000,40.95000000,1,2015010162.000000,44452.000000
-93.20000000,30.22000000,1,2015010163.000000,70601.000000
-88.63000000,31.66000000,1,2015010164.000000,39367.000000
-76.90000000,34.87000000,1,2015010165.000000,28533.000000
-87.95000000,41.99000000,1,2015010166.000000,60007.000000
-85.57000000,42.23000000,1,2015010167.000000,49024.000000
-80.46000000,25.07000000,1,2015010168.000000,33037.000000
-89.50000000,43.08000000,1,2015010169.000000,53214.000000
-84.37000000,33.62000000,1,2015010170.000000,30297.000000
-75.41000000,40.08000000,1,2015010171.000000,19080.000000
-96.90000000,32.67000000,1,2015010172.000000,75116.000000
